#Organism group,Strain,Isolate identifiers,Serovar,Isolate,Create date,Location,Isolation source,Isolation type,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,Computed types
"E.coli and Shigella","20CA01GT02UCD-EC","""20CA01GT02UCD-EC"",""CFSAN106585"",""SRS8241687""",,"PDT000954610.1","2021-02-12T00:24:17Z","USA:CA","ground turkey","environmental/other","PDS000037827.16",14,41,"SAMN17884292","GCA_017034195.1","aac(3)-VIa=COMPLETE,aadA1=COMPLETE,acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,mdtM=COMPLETE,sul1=COMPLETE,sul2=COMPLETE",
"E.coli and Shigella","E. coli","""CA95616PPY10009"",""E. coli"",""SRS6569194""",,"PDT000967574.1","2021-02-18T15:26:01Z","USA: CA","liver",,"PDS000037827.16",,,"SAMN14774244","GCA_016988335.1","aac(3)-IVa=COMPLETE,aac(3)-VIa=COMPLETE,aadA1=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(4)-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,mdtM=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE",
"E.coli and Shigella","E. coli","""CA95616PPY10176"",""E. coli"",""SRS6569197""",,"PDT000967571.1","2021-02-18T15:26:00Z","USA: CA","liver swab",,"PDS000045251.16",,,"SAMN14774247","GCA_016988395.1","acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,mdtM=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE",
"E.coli and Shigella","Cow_RLC2_H4","""Cow_RLC2_H4"",""SRS9404883"",""TG938778""",,"PDT001082197.1","2021-07-06T10:35:19Z","USA:CA","feces cow","environmental/other","PDS000037622.5",0,,"SAMN20065145","GCA_019135255.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC2_G5","""Cow_RLC2_G5"",""SRS9404882"",""TG938827""",,"PDT001082198.1","2021-07-06T10:35:19Z","USA:CA","feces cow","environmental/other","PDS000037622.5",1,,"SAMN20065144","GCA_019135235.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC2_F4","""Cow_RLC2_F4"",""SRS9404879"",""TG938821""",,"PDT001082201.1","2021-07-06T10:35:20Z","USA:CA","feces cow","environmental/other","PDS000037622.5",0,,"SAMN20065141","GCA_019135215.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC2_E5","""Cow_RLC2_E5"",""SRS9404878"",""TG938855""",,"PDT001082202.1","2021-07-06T10:35:21Z","USA:CA","feces cow","environmental/other","PDS000037622.5",4,,"SAMN20065140",,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC2_E4","""Cow_RLC2_E4"",""SRS9404877"",""TG938860""",,"PDT001082203.1","2021-07-06T10:35:21Z","USA:CA","feces cow","environmental/other","PDS000037622.5",0,,"SAMN20065139","GCA_019135195.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC2_D6","""Cow_RLC2_D6"",""SRS9404875"",""TG938862""",,"PDT001082205.1","2021-07-06T10:35:21Z","USA:CA","feces cow","environmental/other","PDS000037622.5",1,,"SAMN20065138","GCA_019135275.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC2_D4","""Cow_RLC2_D4"",""SRS9404873"",""TG938790""",,"PDT001082207.1","2021-07-06T10:35:22Z","USA:CA","feces cow","environmental/other","PDS000037622.5",0,,"SAMN20065136","GCA_019134915.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC2_C6","""Cow_RLC2_C6"",""SRS9404872"",""TG938853""",,"PDT001082208.1","2021-07-06T10:35:22Z","USA:CA","feces cow","environmental/other","PDS000037622.5",2,,"SAMN20065135","GCA_019135175.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC2_B4","""Cow_RLC2_B4"",""SRS9404868"",""TG938818""",,"PDT001082212.1","2021-07-06T10:35:24Z","USA:CA","feces cow","environmental/other","PDS000037622.5",17,,"SAMN20065130",,"acrF=PARTIAL_END_OF_CONTIG,blaEC=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","Cow_RLC2_A4","""Cow_RLC2_A4"",""SRS9404863"",""TG938867""",,"PDT001082215.1","2021-07-06T10:35:24Z","USA:CA","feces cow","environmental/other","PDS000037622.5",2,,"SAMN20065127","GCA_019135515.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",
