#Organism group,Strain,Isolate identifiers,Serovar,Isolate,Create date,Location,Isolation source,Isolation type,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,Computed types
"Campylobacter jejuni","FSIS1501325","""FSIS1501325"",""SRS1071578""",,"PDT000086104.2","2015-10-06T23:17:19Z","USA:TX","animal-cattle-steer","environmental/other",,,,"SAMN04091187","GCA_004924455.1","ant(6)-Ia=PARTIAL,ant(6)-Ia=PARTIAL_END_OF_CONTIG,aph(3')-IIIa=COMPLETE,blaOXA-460=COMPLETE,gyrA_T86I=POINT,sat4=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","TX-ACB1500692","""CFSAN039436"",""SRS1120581"",""TX-ACB1500692""",,"PDT000087337.2","2015-10-19T17:18:05Z","USA:TX","stool","clinical",,,,"SAMN04148261","GCA_005096455.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","TX-ACB1500827","""CFSAN039455"",""SRS1141904"",""TX-ACB1500827""",,"PDT000092454.2","2015-10-30T16:18:56Z","USA:TX","stool","clinical",,,,"SAMN04148280","GCA_005085545.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","TX-ACB1500832","""CFSAN039458"",""SRS1141909"",""TX-ACB1500832""",,"PDT000092457.2","2015-10-30T16:18:56Z","USA:TX","stool","clinical",,,,"SAMN04148283","GCA_005085585.1","23S_A2075G=POINT,50S_L22_G86E=POINT,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1502921","""FSIS1502921"",""SRS1181106""",,"PDT000095380.2","2015-11-27T23:19:03Z","USA:TX","animal-cattle-steer","environmental/other",,,,"SAMN04120358","GCA_005097255.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS1501795","""FSIS1501795"",""SRS1228987""",,"PDT000100962.2","2015-12-30T20:22:10Z","USA:TX","animal-cattle-heifer","environmental/other",,,,"SAMN04377502","GCA_005134885.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS1502071","""FSIS1502071"",""SRS1240225""",,"PDT000101478.2","2016-01-08T16:23:26Z","USA:TX","animal-swine-sow","environmental/other",,,,"SAMN04388417","GCA_005098485.1","50S_L22_A103V=POINT,aadE-Cc=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1605700","""FSIS1605700"",""SRS1297475""",,"PDT000107186.2","2016-02-16T22:23:26Z","USA:TX","animal-cattle-dairy cow","environmental/other",,,,"SAMN04495837","GCA_005283065.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1605879","""FSIS1605879"",""SRS1320187""",,"PDT000111639.2","2016-03-03T00:25:17Z","USA:TX","animal-cattle-steer","environmental/other",,,,"SAMN04528887","GCA_005285415.1","blaOXA-193=COMPLETE,gyrA_T86I=POINT",
"Campylobacter jejuni","FSIS1606085","""FSIS1606085"",""SRS1362954""",,"PDT000121592.2","2016-03-25T23:09:35Z","USA:TX","animal-cattle-dairy cow","environmental/other",,,,"SAMN04580856","GCA_005141325.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1606061","""FSIS1606061"",""SRS1369895""",,"PDT000122156.2","2016-04-01T14:14:21Z","USA:TX","animal-swine-market swine","environmental/other",,,,"SAMN04599799","GCA_005287105.1","blaOXA=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1606249","""FSIS1606249"",""SRS1382896""",,"PDT000123780.2","2016-04-08T20:10:56Z","USA:TX","animal-cattle-dairy cow","environmental/other",,,,"SAMN04625694","GCA_005288825.1","blaOXA-193=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1606315","""FSIS1606315"",""SRS1402313""",,"PDT000125850.2","2016-04-19T17:10:21Z","USA:TX","animal-cattle-dairy cow","environmental/other",,,,"SAMN04869752","GCA_005289405.1","aadE-Cc=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1505235","""FSIS1505235"",""SRS1424288""",,"PDT000128934.2","2016-05-06T20:11:53Z","USA:TX","animal-cattle-dairy cow","environmental/other",,,,"SAMN04958187","GCA_005099185.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS1606556","""FSIS1606556"",""SRS1446045""",,"PDT000131048.2","2016-05-19T02:15:10Z","USA:TX","animal-cattle-dairy cow","environmental/other",,,,"SAMN05013902","GCA_005290405.1",,
"Campylobacter jejuni","TX-ACB1300232","""CFSAN052867"",""SRS1577207"",""TX-ACB1300232""",,"PDT000139792.2","2016-07-21T14:20:41Z","USA:TX","stool","clinical",,,,"SAMN05371136","GCA_005143645.1","50S_L22_A103V=POINT,blaOXA-594=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","TX-ACB1300711","""CFSAN052868"",""SRS1577209"",""TX-ACB1300711""",,"PDT000139793.2","2016-07-21T14:20:41Z","USA:TX","stool","clinical",,,,"SAMN05371137","GCA_005103885.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","TX-ACB1302070","""CFSAN052872"",""SRS1577213"",""TX-ACB1302070""",,"PDT000139797.2","2016-07-21T14:20:41Z","USA:TX","stool","clinical",,,,"SAMN05371141","GCA_005143665.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","TX-ACB1302708","""CFSAN052875"",""SRS1577264"",""TX-ACB1302708""",,"PDT000139800.2","2016-07-21T14:20:41Z","USA:TX","stool","clinical",,,,"SAMN05371144","GCA_005104025.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS1607213","""FSIS1607213"",""SRS1609253""",,"PDT000144092.2","2016-08-10T23:16:35Z","USA:TX","animal-cattle-dairy cow","environmental/other",,,,"SAMN05558621","GCA_005295945.1","blaOXA-193=COMPLETE,blaOXA=COMPLETE",
"Campylobacter jejuni","FSIS1607421","""FSIS1607421"",""SRS1672640""",,"PDT000147393.2","2016-09-06T17:15:21Z","USA:TX","animal-cattle-heifer","environmental/other",,,,"SAMN05720126","GCA_005108045.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS1608350","""FSIS1608350"",""SRS1797971""",,"PDT000159074.2","2016-11-15T13:15:01Z","USA:TX","comminuted chicken","environmental/other",,,,"SAMN06015828","GCA_005157335.1","50S_L22_A103V=POINT,blaOXA-184=COMPLETE,gyrA_T86I=POINT",
"Campylobacter jejuni","FSIS1609536","""FSIS1609536"",""SRS1938320""",,"PDT000181143.2","2017-01-25T16:32:59Z","USA:TX","chicken carcass","environmental/other",,,,"SAMN06256282","GCA_005013575.1",,
"Campylobacter jejuni","FSIS1710694","""FSIS1710694"",""SRS2052724""",,"PDT000193640.2","2017-03-16T23:39:35Z","USA:TX","raw intact chicken","environmental/other",,,,"SAMN06602812","GCA_005209215.1",,
"Campylobacter jejuni","FSIS1710914","""FSIS1710914"",""SRS2105739""",,"PDT000200393.2","2017-04-06T18:41:09Z","USA:TX","animal-swine-market swine","environmental/other",,,,"SAMN06619985","GCA_004948305.1","aadE-Cc=COMPLETE,blaOXA-193=COMPLETE,lnu(C)=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1711094","""FSIS1711094"",""SRS2105767""",,"PDT000200420.2","2017-04-06T18:41:14Z","USA:TX","animal-cattle-steer","environmental/other",,,,"SAMN06638322","GCA_004947865.1","gyrA_T86I=POINT",
"Campylobacter jejuni","FSIS1711088","""FSIS1711088"",""SRS2105772""",,"PDT000200425.2","2017-04-06T18:41:15Z","USA:TX","animal-cattle-beef cow","environmental/other",,,,"SAMN06638316","GCA_004948335.1","blaOXA=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1700128","""FSIS1700128"",""SRS2105828""",,"PDT000200447.2","2017-04-06T20:41:38Z","USA:TX","animal-cattle-dairy cow","environmental/other",,,,"SAMN06645957","GCA_005011695.1","23S_A2075G=POINT,aadE-Cc=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1710832","""FSIS1710832"",""SRS2119443""",,"PDT000201700.2","2017-04-13T20:10:59Z","USA:TX","raw intact chicken","environmental/other",,,,"SAMN06701454","GCA_005268355.1",,
"Campylobacter jejuni","FSIS1700298","""FSIS1700298"",""SRS2119646""",,"PDT000201759.2","2017-04-14T03:39:58Z","USA:TX","animal-chicken-young chicken","environmental/other",,,,"SAMN06704280","GCA_005267925.1",,
"Campylobacter jejuni","FSIS1700824","""FSIS1700824"",""SRS2151624""",,"PDT000205643.2","2017-04-28T00:16:09Z","USA:TX","animal-cattle-dairy cow","environmental/other",,,,"SAMN06843615","GCA_005204955.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS1701321","""FSIS1701321"",""SRS2176770""",,"PDT000208352.2","2017-05-11T18:03:26Z","USA:TX","animal-cattle-steer","environmental/other",,,,"SAMN06927301","GCA_004951885.1","tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1701334","""FSIS1701334"",""SRS2184376""",,"PDT000208487.2","2017-05-12T15:44:31Z","USA:TX","animal-cattle-beef cow","environmental/other",,,,"SAMN06948495","GCA_004952005.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS1701325","""FSIS1701325"",""SRS2208339""",,"PDT000209382.2","2017-05-18T17:46:31Z","USA:TX","animal-swine-sow","environmental/other",,,,"SAMN07140292","GCA_005195715.1","aadE-Cc=COMPLETE,blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS1700745","""FSIS1700745"",""SRS2235260""",,"PDT000213349.2","2017-05-26T21:41:19Z","USA:TX","chicken carcass","environmental/other",,,,"SAMN07173244","GCA_005296085.1","aph(3')-IIIa=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1702077","""FSIS1702077"",""SRS2294799""",,"PDT000219239.2","2017-06-19T16:41:19Z","USA:TX","animal-swine-market swine","environmental/other",,,,"SAMN07252157","GCA_005010415.1","50S_L22_A103V=POINT,aadE-Cc=COMPLETE,blaOXA-193=COMPLETE,blaOXA=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","TX-ACF1701415","""CFSAN064889"",""SRS2295365"",""TX-ACF1701415""",,"PDT000219294.2","2017-06-19T17:40:25Z","USA:TX","raw goat milk","environmental/other",,,,"SAMN07222691","GCA_005210245.1","50S_L22_A103V=POINT,blaOXA=COMPLETE,gyrA_T86I=POINT",
"Campylobacter jejuni","TX-ACF1701427","""CFSAN064891"",""SRS2295364"",""TX-ACF1701427""",,"PDT000219295.2","2017-06-19T17:40:26Z","USA:TX","whole chicken","environmental/other",,,,"SAMN07222689","GCA_004958665.1","50S_L22_A103V=POINT,blaOXA=PARTIAL,tet(O)=COMPLETE",
"Campylobacter jejuni","TX-ACF1701877","""CFSAN066193"",""SRS2426376"",""TX-ACF1701877""",,"PDT000234065.2","2017-08-18T12:28:34Z","USA:TX","whole chicken","environmental/other",,,,"SAMN07461442","GCA_005192735.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS11703910","""FSIS11703910"",""SRS2566990""",,"PDT000247625.2","2017-10-05T00:34:21Z","USA:TX","animal-cattle-beef cow","environmental/other",,,,"SAMN07738548","GCA_005151465.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS11705610","""FSIS11705610"",""SRS2707101""",,"PDT000266290.2","2017-11-21T22:36:48Z","USA:TX","animal-cattle-beef cow","environmental/other",,,,"SAMN08051507","GCA_005036965.1","aph(3')-IIIa=COMPLETE,blaOXA-489=COMPLETE,lnu(C)=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS11705202","""FSIS11705202"",""SRS2755890""",,"PDT000271369.2","2017-12-13T20:50:52Z","USA:TX","animal-chicken-young chicken","environmental/other",,,,"SAMN08167570","GCA_004988205.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS11705814","""FSIS11705814"",""SRS2796402""",,"PDT000274912.2","2017-12-28T22:50:41Z","USA:TX","animal-cattle-dairy cow","environmental/other",,,,"SAMN08272789","GCA_005035775.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS11706227","""FSIS11706227"",""SRS2823353""",,"PDT000277699.2","2018-01-10T22:47:03Z","USA:TX","animal-swine-market swine","environmental/other",,,,"SAMN08347823","GCA_005060285.1","blaOXA-489=COMPLETE,blaOXA=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","TX-ACF1702702C","""CFSAN074215"",""SRS2846683"",""TX-ACF1702702C""",,"PDT000279723.2","2018-01-19T22:46:03Z","USA:TX","poultry rinse","environmental/other",,,,"SAMN08291644","GCA_004993345.1","blaOXA-460=COMPLETE",
"Campylobacter jejuni","FSIS11705931","""FSIS11705931"",""SRS2852152""",,"PDT000281012.2","2018-01-24T17:56:09Z","USA:TX","animal-chicken-young chicken","environmental/other",,,,"SAMN08289342","GCA_005152125.1","50S_L22_A103V=POINT",
"Campylobacter jejuni","FSIS11706889","""FSIS11706889"",""SRS2897108""",,"PDT000283053.2","2018-01-30T22:50:15Z","USA:TX","animal-cattle-dairy cow","environmental/other",,,,"SAMN08437272","GCA_005031535.1","aadE-Cc=COMPLETE,aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,blaOXA=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","TX-ACF1800021","""CFSAN075431"",""SRS2907161"",""TX-ACF1800021""",,"PDT000283875.2","2018-02-01T22:46:37Z","USA:TX","broth","environmental/other",,,,"SAMN08397434","GCA_005029935.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","TX-ACF1800022","""CFSAN075432"",""SRS2907358"",""TX-ACF1800022""",,"PDT000283889.2","2018-02-02T00:44:30Z","USA:TX","broth","environmental/other",,,,"SAMN08397433","GCA_005060885.1",,
"Campylobacter jejuni","FSIS11807347","""FSIS11807347"",""SRS2932366""",,"PDT000285943.2","2018-02-09T02:49:15Z","USA:TX","animal-cattle-steer","environmental/other",,,,"SAMN08500537","GCA_005178965.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS21821062","""FSIS21821062"",""SRS2972805""",,"PDT000287674.2","2018-02-16T16:53:33Z","USA:TX","raw intact chicken","environmental/other",,,,"SAMN08555389","GCA_004999585.1","50S_L22_A103V=POINT,blaOXA=COMPLETE",
"Campylobacter jejuni","FSIS11807834","""FSIS11807834"",""SRS3008623""",,"PDT000290425.2","2018-03-01T02:50:44Z","USA:TX","animal-cattle-dairy cow","environmental/other",,,,"SAMN08624128","GCA_005167485.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS11808766","""FSIS11808766"",""SRS3150555""",,"PDT000304940.2","2018-04-09T20:56:15Z","USA:TX","chicken carcass","environmental/other",,,,"SAMN08899154","GCA_005078245.1",,
"Campylobacter jejuni","FSIS21821757","""FSIS21821757"",""SRS3402867""",,"PDT000327689.1","2018-06-11T17:01:28Z","USA:TX","chicken carcass","environmental/other",,,,"SAMN09389871","GCA_005306345.1","aadE-Cc=COMPLETE,blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS11810825","""FSIS11810825"",""SRS3496849""",,"PDT000340549.1","2018-07-03T01:16:12Z","USA:TX","raw intact chicken","environmental/other",,,,"SAMN09534554","GCA_005320725.1","50S_L22_A103V=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS11810989","""FSIS11810989"",""SRS3496860""",,"PDT000340560.1","2018-07-03T01:16:14Z","USA:TX","animal-cattle-heifer","environmental/other",,,,"SAMN09534561","GCA_005317465.1","aph(3')-IIIa=COMPLETE,blaOXA=COMPLETE,blaOXA=PARTIAL_END_OF_CONTIG,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C616","""CVM N17C616"",""SRS3530768""",,"PDT000345743.1","2018-07-12T11:59:37Z","USA:TX","chicken breast","environmental/other",,,,"SAMN09605324","GCA_005332545.1",,
"Campylobacter jejuni","CVM N17C238","""CVM N17C238"",""SRS3530741""",,"PDT000345773.1","2018-07-12T11:59:42Z","USA:TX","Chicken Legs","environmental/other",,,,"SAMN09605101","GCA_005334445.1","50S_L22_A103V=POINT,ant(6)-Ia=PARTIAL_END_OF_CONTIG,aph(3')-IIIa=COMPLETE,blaOXA-184=COMPLETE,sat4=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C624","""CVM N17C624"",""SRS3530721""",,"PDT000345789.1","2018-07-12T11:59:45Z","USA:TX","Whole - cut in lab","environmental/other",,,,"SAMN09605330","GCA_005334825.1","blaOXA-623=COMPLETE,blaOXA=COMPLETE",
"Campylobacter jejuni","FSIS11811542","""FSIS11811542"",""SRS3546566""",,"PDT000348038.1","2018-07-13T23:02:16Z","USA:TX","animal-cattle-steer","environmental/other",,,,"SAMN09655724","GCA_005335725.1",,
"Campylobacter jejuni","FSIS11811823","""FSIS11811823"",""SRS3551901""",,"PDT000350540.1","2018-07-16T22:41:47Z","USA:TX","raw intact chicken","environmental/other",,,,"SAMN09666388","GCA_005340765.1","50S_L22_A103V=POINT,ant(6)-Ia=PARTIAL_END_OF_CONTIG,aph(3')-IIIa=COMPLETE,blaOXA=MISTRANSLATION,sat4=COMPLETE",
"Campylobacter jejuni","FSIS11812322","""FSIS11812322"",""SRS3611994""",,"PDT000355740.1","2018-07-31T03:05:01Z","USA:TX","animal-cattle-steer","environmental/other",,,,"SAMN09742398","GCA_005348095.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS11812320","""FSIS11812320"",""SRS3611997""",,"PDT000355742.1","2018-07-31T03:05:01Z","USA:TX","animal-cattle-dairy cow","environmental/other",,,,"SAMN09742396","GCA_005348935.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS11812653","""FSIS11812653"",""SRS3643805""",,"PDT000360884.1","2018-08-10T00:42:51Z","USA:TX","chicken carcass","environmental/other",,,,"SAMN09788613","GCA_005353945.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N17C828","""CVM N17C828"",""SRS3673135""",,"PDT000363422.1","2018-08-15T19:43:27Z","USA:TX","Chicken Legs","environmental/other",,,,"SAMN09783409","GCA_005364785.1","50S_L22_A103V=POINT,ant(6)-Ia=PARTIAL_END_OF_CONTIG,aph(3')-IIIa=COMPLETE,sat4=COMPLETE",
"Campylobacter jejuni","FSIS11812946","""FSIS11812946"",""SRS3681640""",,"PDT000364486.1","2018-08-17T21:41:45Z","USA:TX","animal-cattle-steer","environmental/other",,,,"SAMN09849929","GCA_005366085.1","tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS11813558","""FSIS11813558"",""SRS3766372""",,"PDT000375051.1","2018-09-12T03:11:32Z","USA:TX","animal-swine-sow","environmental/other",,,,"SAMN10034821","GCA_005377345.1","blaOXA=COMPLETE,lnu(C)=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS11815842","""FSIS11815842"",""SRS4115283""",,"PDT000414535.1","2018-12-07T18:48:25Z","USA:TX","comminuted chicken","environmental/other",,,,"SAMN10520260","GCA_004834715.1","aadE-Cc=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS21822652","""FSIS21822652"",""SRS4137240""",,"PDT000417350.1","2018-12-14T03:47:28Z","USA:TX","chicken carcass","environmental/other",,,,"SAMN10574314","GCA_004837305.1","blaOXA-460=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS11816619","""FSIS11816619"",""SRS4182697""",,"PDT000422171.1","2018-12-22T00:53:29Z","USA:TX","chicken carcass","environmental/other",,,,"SAMN10638667","GCA_004839805.1","blaOXA-460=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS21823039","""FSIS21823039"",""SRS4197589""",,"PDT000428467.1","2018-12-31T19:55:47Z","USA:TX","chicken carcass","environmental/other",,,,"SAMN10663785","GCA_004842265.1","23S_A2075G=POINT,aadE-Cc=COMPLETE,ant(6)-Ia=PARTIAL,ant(6)-Ia=PARTIAL_END_OF_CONTIG,aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,sat4=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS11816430","""FSIS11816430"",""SRS4197603""",,"PDT000428481.1","2018-12-31T19:55:51Z","USA:TX","Animal-Turkey-Young Turkey","environmental/other",,,,"SAMN10661826","GCA_004842765.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS11816607","""FSIS11816607"",""SRS4292791""",,"PDT000452697.1","2019-01-25T20:53:59Z","USA:TX","chicken carcass","environmental/other",,,,"SAMN10820247","GCA_004852765.1","tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS11816875","""FSIS11816875"",""SRS4314408""",,"PDT000457447.1","2019-02-01T00:58:08Z","USA:TX","animal-cattle-heifer","environmental/other",,,,"SAMN10854948","GCA_004854145.1","blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS12032935","""FSIS12032935"",""SRS7351239""",,"PDT000834642.1","2020-09-11T19:19:03Z","USA:TX","raw intact chicken","environmental/other",,,,"SAMN16111928","GCA_014550975.1","gyrA_T86I=POINT",
"Campylobacter jejuni","FSIS12035279","""FSIS12035279"",""SRS7641080""",,"PDT000878108.1","2020-11-03T21:27:16Z","USA:TX","chicken carcass","environmental/other",,,,"SAMN16644361","GCA_015224355.1","blaOXA-460=COMPLETE",
