#Organism group,Strain,Isolate identifiers,Serovar,Isolate,Create date,Location,Isolation source,Isolation type,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,Computed types
"Listeria monocytogenes","CFSAN008005","""CFSAN008005"",""SRS601289""",,"PDT000027886.3","2014-05-02T22:03:58Z","USA:TX","environmental swab","environmental/other",,,,"SAMN02567809","GCA_004512925.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","CFSAN012527","""CFSAN012527"",""FSIS1400017"",""SRS607704""",,"PDT000030340.3","2014-05-15T21:06:44Z","USA:TX","environmental","environmental/other",,,,"SAMN02781129","GCA_004512465.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","CFSAN023702","""CFSAN023702"",""FSIS1400177"",""SRS697324""",,"PDT000038588.2","2014-09-08T23:06:18Z","USA:TX","environmental","environmental/other",,,,"SAMN03023695","GCA_004430925.1","abc-f=HMM,fosX=HMM",
"Listeria monocytogenes","CFSAN026709","""CFSAN026709"",""FSIS1400323"",""SRS753911""",,"PDT000044531.2","2014-11-28T16:07:35Z","USA:TX","environmental swab sponge non food contact surface","environmental/other",,,,"SAMN03218392","GCA_004407785.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FDA98142","""CFSAN021845"",""FDA00007307"",""FDA98142"",""SRS875096""",,"PDT000051522.2","2015-03-17T15:09:53Z","USA:TX","guacamole","environmental/other",,,,"SAMN02923560","GCA_004466665.1","abc-f=HMM,fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FDA211358-2","""CFSAN021780"",""FDA00007242"",""FDA211358-2"",""SRS888752""",,"PDT000052159.2","2015-03-31T03:10:41Z","USA:TX","blue crab claw meat","environmental/other",,,,"SAMN02923489","GCA_004469325.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FDA217461-2C","""CFSAN021822"",""FDA00007284"",""FDA217461-2C"",""SRS888879""",,"PDT000052276.2","2015-03-31T04:09:16Z","USA:TX","soft white mexican cheese","environmental/other",,,,"SAMN02923531","GCA_004470045.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TX-AML1501042","""CFSAN032476"",""SRS926318"",""TX-AML1501042""",,"PDT000062987.2","2015-04-30T19:13:21Z","USA:TX","butternut squash","environmental/other",,,,"SAMN03490966",,"fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TX-ACF1500971","""CFSAN032477"",""SRS926317"",""TX-ACF1500971""",,"PDT000062988.2","2015-04-30T19:13:21Z","USA:TX","environmental swab","environmental/other",,,,"SAMN03490967","GCA_004414285.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","PNUSAL001399","""PNUSAL001399"",""SRS922222"",""WGLISTERIA0003453""",,"PDT000063120.2","2015-04-30T20:15:20Z","USA:TX",,"environmental/other",,,,"SAMN03567980","GCA_004387965.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FSIS1501383","""FSIS1501383"",""SRS965905""",,"PDT000067496.5","2018-06-26T23:04:06Z","USA:TX","environmental: non-food-contact surface","environmental/other",,,,"SAMN03782070","GCA_004451165.1","abc-f=HMM,fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FDA337326 2C","""CFSAN021304"",""FDA00006766"",""FDA337326 2C"",""SRS992372""",,"PDT000069778.2","2015-07-14T19:14:43Z","USA:TX","environmental swab","environmental/other",,,,"SAMN02923020","GCA_004491365.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FDA337326 2A","""CFSAN021303"",""FDA00006765"",""FDA337326 2A"",""SRS992367""",,"PDT000069837.2","2015-07-14T23:12:12Z","USA:TX","environmental swab","environmental/other",,,,"SAMN02923019","GCA_004639805.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TX-ACF1501382","""CFSAN036110"",""SRS1016066"",""TX-ACF1501382""",,"PDT000077087.2","2015-07-29T18:10:45Z","USA:TX","environmental swab","environmental/other",,,,"SAMN03892149","GCA_004493505.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TX-AML1501588","""CFSAN036109"",""SRS1016194"",""TX-AML1501588""",,"PDT000077133.2","2015-07-29T19:10:49Z","USA:TX","guaca pico","environmental/other",,,,"SAMN03892148","GCA_004495335.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FDA522849-5","""CFSAN007124"",""FDA00007709"",""FDA522849-5"",""SRS1021204""",,"PDT000077352.2","2015-08-03T17:10:41Z","USA:TX","environmental swab","environmental/other",,,,"SAMN02709425","GCA_004494145.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TX-AML1502209","""CFSAN036121"",""SRS1024576"",""TX-AML1502209""",,"PDT000077846.2","2015-08-06T16:10:57Z","USA:TX","chicken sandwich","environmental/other",,,,"SAMN03892160","GCA_004398465.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TX-AML1403099","""CFSAN033496"",""SRS1095879"",""TX-AML1403099""",,"PDT000085505.2","2015-10-01T14:13:25Z","USA:TX","food","environmental/other",,,,"SAMN03702779","GCA_004499645.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TX-854428.SUB.14","""CFSAN033508"",""SRS1095888"",""TX-854428.SUB.14""",,"PDT000085515.3","2017-04-06T14:44:03Z","USA:TX","avocado","environmental/other",,,,"SAMN03702791","GCA_004383705.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TX-868395.SUB.17","""CFSAN033515"",""SRS1096280"",""TX-868395.SUB.17""",,"PDT000086130.3","2017-06-05T23:23:19Z","USA:TX","avocado","environmental/other",,,,"SAMN03702798","GCA_004393245.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","MOD1_LS271","""CFSAN012783"",""MOD1_LS271"",""SRS789941""",,"PDT000100353.1","2015-12-23T20:02:58Z","USA:TX",,"clinical",,,,"SAMN02769744","GCA_001481955.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","MOD1_LS272","""CFSAN012784"",""MOD1_LS272"",""SRS789946""",,"PDT000100354.1","2015-12-23T20:03:07Z","USA:TX",,"clinical",,,,"SAMN02769745","GCA_001481965.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TX-ACF1503111","""CFSAN044505"",""SRS1244313"",""TX-ACF1503111""",,"PDT000101797.2","2016-01-11T15:24:35Z","USA:TX","environmental swab","environmental/other",,,,"SAMN04386008","GCA_004648525.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TX-AML1600487","""CFSAN047143"",""SRS1327818"",""TX-AML1600487""",,"PDT000112659.2","2016-03-08T13:27:31Z","USA:TX","steamed vegetable","environmental/other",,,,"SAMN04521460","GCA_004654585.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FSIS1606273","""FSIS1606273"",""SRS1402377""",,"PDT000125877.2","2016-04-19T17:10:22Z","USA:TX","environmental: non-food-contact surface","environmental/other",,,,"SAMN04869806","GCA_004662825.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TX-ACB1302230","""CFSAN051167"",""SRS1493089"",""TX-ACB1302230""",,"PDT000133901.2","2016-06-08T22:13:27Z","USA:TX","parsley","environmental/other",,,,"SAMN05171478","GCA_004676065.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes",,"""J4894"",""LS51"",""SRS960855""",,"PDT000136859.3","2016-06-30T18:13:26Z","USA: TX","placenta","clinical",,,,"SAMN03766423","GCA_010099535.1","catA1=COMPLETE,catA=COMPLETE,fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FDA953287-56","""CFSAN053282"",""FDA00010493"",""FDA953287-56"",""SRS1607490""",,"PDT000143878.2","2016-08-09T17:18:11Z","USA:TX","environmental swab","environmental/other",,,,"SAMN05513250","GCA_004572695.1","abc-f=HMM,fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TX-ACB1301197","""CFSAN052893"",""SRS1624489"",""TX-ACB1301197""",,"PDT000144701.2","2016-08-19T15:22:52Z","USA:TX","cerebrospinal fluid","clinical",,,,"SAMN05371162","GCA_004574145.1","abc-f=HMM,fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FSIS1608311","""FSIS1608311"",""SRS1812466""",,"PDT000162338.2","2016-11-21T23:20:07Z","USA:TX","environmental: non-food-contact surface","environmental/other",,,,"SAMN06045998","GCA_004587255.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","CFSAN060127","""CFSAN060127"",""SRS1996794""",,"PDT000189360.2","2017-02-22T22:09:43Z","USA:TX","environmental swab sponge","environmental/other",,,,"SAMN06330529","GCA_004431685.1","dfrE=PARTIAL_END_OF_CONTIG,fosX=COMPLETE,lin=COMPLETE,vanR=COMPLETE",
"Listeria monocytogenes","TX-AML1700041","""CFSAN059687"",""SRS2004766"",""TX-AML1700041""",,"PDT000190227.2","2017-02-27T19:41:19Z","USA:TX","cut bell pepper","environmental/other",,,,"SAMN06256026","GCA_004682085.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","CFSAN060137","""CFSAN060137"",""SRS2004814""",,"PDT000190275.2","2017-02-27T19:41:27Z","USA:TX","environmental swab sponge","environmental/other",,,,"SAMN06330519","GCA_004430775.1","dfrE=COMPLETE,fosX=COMPLETE,lin=COMPLETE,lsa(A)=PARTIAL_END_OF_CONTIG,vanC=COMPLETE,vanR=COMPLETE,vanS=COMPLETE,vanT=PARTIAL_END_OF_CONTIG,vanXY-C=COMPLETE",
"Listeria monocytogenes","CFSAN060742","""CFSAN060742"",""SRS2028314""",,"PDT000191441.2","2017-03-07T17:35:49Z","USA:TX","contact sponge","environmental/other",,,,"SAMN06459896","GCA_004686445.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","CFSAN060987","""CFSAN060987"",""SRS2046549""",,"PDT000193034.2","2017-03-15T03:38:07Z","USA:TX","chicken breast","environmental/other",,,,"SAMN06477613","GCA_004404265.1","fosX=COMPLETE,lin=COMPLETE,vanR=PARTIAL_END_OF_CONTIG,vanS=PARTIAL_END_OF_CONTIG,vanXY-C=PARTIAL_END_OF_CONTIG",
"Listeria monocytogenes","FSIS1700801","""FSIS1700801"",""SRS2161679""",,"PDT000206513.2","2017-05-02T20:46:50Z","USA:TX","environmental: non-food-contact surface","environmental/other",,,,"SAMN06882381","GCA_004695985.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FSIS11704774","""FSIS11704774"",""SRS2569550""",,"PDT000248198.2","2017-10-06T18:31:53Z","USA:TX","environmental: non-food-contact surface","environmental/other",,,,"SAMN07746409","GCA_004615535.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FSIS21720477","""FSIS21720477"",""SRS2643837""",,"PDT000259238.2","2017-10-30T14:44:34Z","USA:TX","environmental: non-food-contact surface","environmental/other",,,,"SAMN07946520","GCA_004616595.1","abc-f=HMM,fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FSIS21720660","""FSIS21720660"",""SRS2721383""",,"PDT000267713.2","2017-11-29T23:50:40Z","USA:TX","RTE Product","environmental/other",,,,"SAMN08110853","GCA_004622505.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FSIS11706655","""FSIS11706655"",""SRS2861405""",,"PDT000281125.2","2018-01-24T17:56:34Z","USA:TX","environmental: non-food-contact surface","environmental/other",,,,"SAMN08362328","GCA_004630695.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FSIS21820967","""FSIS21820967"",""SRS2854685""",,"PDT000281179.2","2018-01-24T17:56:47Z","USA:TX","RTE Product","environmental/other",,,,"SAMN08383754","GCA_004630835.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","CFSAN004302","""CFSAN004302"",""NRRL B-57113"",""SRS856812""","1/2b","PDT000388441.1","2018-10-02T19:35:30Z","USA:TX","uncured canadian bacon","environmental/other",,,,"SAMN03354327","GCA_003609005.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TTU_457","""CFSAN091069"",""SRS4363722"",""TTU_457""",,"PDT000465689.1","2019-02-16T02:45:50Z","USA:TX","canine feces","environmental/other",,,,"SAMN10929233","GCA_004475085.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TTU_471","""CFSAN091083"",""SRS4363742"",""TTU_471""",,"PDT000465701.1","2019-02-16T02:45:53Z","USA:TX","canine feces","environmental/other",,,,"SAMN10929253","GCA_004475225.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TTU_465","""CFSAN091077"",""SRS4363753"",""TTU_465""",,"PDT000465712.1","2019-02-16T02:45:55Z","USA:TX","canine feces","environmental/other",,,,"SAMN10929259","GCA_004396205.1","abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE",
"Listeria monocytogenes","FSIS21923517","""FSIS21923517"",""SRS4372424""",,"PDT000466168.1","2019-02-16T02:47:23Z","USA:TX","RTE Product","environmental/other",,,,"SAMN10954052","GCA_004475565.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TTU_456","""CFSAN091068"",""SRS4388003"",""TTU_456""",,"PDT000468156.1","2019-02-21T18:05:27Z","USA:TX","canine feces","environmental/other",,,,"SAMN10983692","GCA_004396325.1","abc-f=HMM,fosX=HMM,mph(B)=HMM,tet(M)=COMPLETE",
"Listeria monocytogenes","TTU_472","""CFSAN091084"",""SRS4388054"",""TTU_472""",,"PDT000468200.1","2019-02-21T18:05:35Z","USA:TX","canine feces","environmental/other",,,,"SAMN10983841","GCA_004476345.1","abc-f=HMM,fosX=HMM",
"Listeria monocytogenes","TTU_452","""CFSAN091064"",""SRS4388085"",""TTU_452""",,"PDT000468231.1","2019-02-21T18:05:40Z","USA:TX","canine feces","environmental/other",,,,"SAMN10983875","GCA_004396305.1","abc-f=HMM,fosX=HMM",
"Listeria monocytogenes","TTU_450","""CFSAN091062"",""SRS4388207"",""TTU_450""",,"PDT000468268.1","2019-02-21T18:05:46Z","USA:TX","canine feces","environmental/other",,,,"SAMN10983936","GCA_004396285.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TTU_474","""CFSAN091086"",""SRS5090012"",""TTU_474""",,"PDT000542489.1","2019-07-12T14:31:58Z","USA:TX","canine feces","environmental/other",,,,"SAMN12261710","GCA_007463375.1","abc-f=HMM,fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TXACF1901325","""CFSAN096264"",""SRS5187422"",""TXACF1901325""",,"PDT000551334.1","2019-07-31T20:31:49Z","USA:TX","environmental swab sponge front right corner of butcher block polymer surface stainless table adjecent to holding vat","environmental/other",,,,"SAMN12414101","GCA_007875645.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","TXACF1901550","""CFSAN096416"",""SRS5285140"",""TXACF1901550""",,"PDT000568549.1","2019-08-19T15:31:06Z","USA:TX","ready to eat smoked sausage","environmental/other",,,,"SAMN12601110","GCA_010070345.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","NMSU-EP18","""NMSU-EP18"",""SRS6952644""",,"PDT000783566.1","2020-07-06T20:15:32Z","USA:TX","environmental swab sponge kettle stair at food processing facility","environmental/other",,,,"SAMN15456899","GCA_013552325.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","NMSU-EP29","""NMSU-EP29"",""SRS6952636""",,"PDT000783574.1","2020-07-06T20:15:34Z","USA:TX","environmental swab sponge cart wheel at food processing facility","environmental/other",,,,"SAMN15456902","GCA_013552675.1","abc-f=HMM,fosX=HMM",
"Listeria monocytogenes","PNUSAL008205","""PNUSAL008205"",""SRS7514477"",""TXACF2001150""",,"PDT000860606.1","2020-10-13T19:23:55Z","USA:TX","environmental swab from wheel of sausage cart","environmental/other",,,,"SAMN16429776","GCA_014910225.1","fosX=COMPLETE,lin=COMPLETE",
