#Organism group,Strain,Isolate identifiers,Serovar,Isolate,Create date,Location,Isolation source,Isolation type,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,Computed types
"E.coli and Shigella","0.1745","""0.1745"",""CFSAN094265"",""SRS4878510""",,"PDT000518085.2","2019-06-05T14:51:43Z","USA:TX","Pig, (Porcine)","environmental/other","PDS000046273.17",4,,"SAMN11961023","GCA_011938085.1","aadA1=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,acrF=COMPLETE,aph(3')-Ia=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,bleO=COMPLETE,cmlA1=COMPLETE,cmlA1=PARTIAL_END_OF_CONTIG,lnu(G)=PARTIAL_END_OF_CONTIG,mdtM=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE",
"E.coli and Shigella","0.1744","""0.1744"",""CFSAN094264"",""SRS4878702""",,"PDT000518117.2","2019-06-05T14:51:50Z","USA:TX","Pig, (Porcine)","environmental/other","PDS000046273.17",4,,"SAMN11961247","GCA_011934525.1","aadA1=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,acrF=COMPLETE,aph(3')-Ia=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,bleO=COMPLETE,cmlA1=COMPLETE,lnu(G)=COMPLETE,mdtM=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE",
"E.coli and Shigella","0.297","""0.297"",""CFSAN094348"",""SRS5065639""",,"PDT000539049.2","2019-07-05T16:31:53Z","USA:TX","Pig, (Porcine)","environmental/other","PDS000046273.17",4,,"SAMN12219791","GCA_011922565.1","aadA1=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,acrF=COMPLETE,aph(3')-Ia=COMPLETE,blaEC=COMPLETE,blaTEM=COMPLETE,cmlA1=COMPLETE,mdtM=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE",
"E.coli and Shigella","0.2968","""0.2968"",""CFSAN094346"",""SRS5065645""",,"PDT000539055.2","2019-07-05T16:31:54Z","USA:TX","Pig, (Porcine)","environmental/other","PDS000046273.17",5,,"SAMN12219806","GCA_011923465.1","aadA1=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,acrF=COMPLETE,aph(3')-Ia=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,bleO=COMPLETE,cmlA1=COMPLETE,cmlA1=PARTIAL_END_OF_CONTIG,mdtM=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE",
"E.coli and Shigella","0.2969","""0.2969"",""CFSAN094347"",""SRS5065654""",,"PDT000539064.2","2019-07-05T16:31:56Z","USA:TX","Pig, (Porcine)","environmental/other","PDS000046273.17",20,,"SAMN12219809","GCA_011923025.1","aadA1=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,acrF=COMPLETE,aph(3')-Ia=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cmlA1=COMPLETE,lnu(G)=PARTIAL_END_OF_CONTIG,mdtM=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE",
"E.coli and Shigella","0.2967","""0.2967"",""CFSAN094345"",""SRS5065656""",,"PDT000539066.2","2019-07-05T16:31:56Z","USA:TX","Pig, (Porcine)","environmental/other","PDS000046273.17",20,,"SAMN12219812","GCA_011922225.1","aadA1=COMPLETE,aadA2=COMPLETE,acrF=COMPLETE,aph(3')-Ia=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,bleO=COMPLETE,cmlA1=COMPLETE,mdtM=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE",
"E.coli and Shigella","0.2789","""0.2789"",""CFSAN094319"",""SRS5140555""",,"PDT000547582.1","2019-07-23T20:04:43Z","USA:TX","Pig, (Porcine)","environmental/other","PDS000046273.17",5,,"SAMN12344208","GCA_012305485.1","aadA1=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,acrF=COMPLETE,aph(3')-Ia=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,bleO=COMPLETE,cmlA1=COMPLETE,mdtM=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE",
"E.coli and Shigella","FSIS11816384","""FSIS11816384"",""SRS4147064""",,"PDT000417989.1","2018-12-14T22:43:34Z","USA:TX","Animal-Turkey-Young Turkey","environmental/other","PDS000072179.10",21,26,"SAMN10594806","GCA_012045825.1","acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",
"E.coli and Shigella","20TX08GT10-EC","""20TX08GT10-EC"",""SRS8388612""",,"PDT000979435.1","2021-03-06T05:24:22Z","USA:TX","ground turkey","environmental/other","PDS000072179.10",43,45,"SAMN18172199","GCA_017778965.1","acrF=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,mdtM=COMPLETE",
"E.coli and Shigella","WG5::PA2","""SRS8462162"",""WG5::PA2""",,"PDT001303992.1","2022-05-09T12:55:30Z","USA: San Antonio-Texas",,,"PDS000012280.15",,,"SAMN18287924","GCA_023278245.1","acrF=COMPLETE,blaEC=COMPLETE,gyrA_D87G=POINT,gyrA_Q106H=POINT,mdtM=COMPLETE",
