#Organism group,Strain,Isolate identifiers,Serovar,Isolate,Create date,Location,Isolation source,Isolation type,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,Computed types
"Listeria monocytogenes","CFSAN008045","""CFSAN008045"",""SRS589747""",,"PDT000025475.4","2014-04-12T16:33:32Z","USA:MA","environmental swab","environmental/other",,,,"SAMN02567849","GCA_004419715.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","CFSAN008068","""CFSAN008068"",""SRS589722""",,"PDT000025490.3","2014-04-12T16:33:33Z","USA:MA","sprout","environmental/other",,,,"SAMN02567872","GCA_004419685.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","NRRL B-33583","""BCW_3882"",""J.1130"",""NRRL B-33583"",""SRS846324""","4b","PDT000152493.1","2016-10-13T13:46:34Z","USA:CT",,"clinical",,,,"SAMN03277672","GCA_001760805.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","OLM 11","""OLM 11""",,"PDT000150551.1","2016-09-26T21:01:53Z","USA: Connecticut","clinical","clinical",,,,"SAMN05717795","GCA_001746875.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","NRRL B-33574","""BCW_3879"",""J.2326"",""NRRL B-33574"",""SRS846376""","1/2b","PDT000152490.1","2016-10-13T13:45:48Z","USA:CT",,"clinical",,,,"SAMN03277703","GCA_001760735.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","CFSAN003443","""CFSAN003443"",""NRRL B-33563"",""SRS856837""","1/2a","PDT000102653.3","2016-01-21T16:24:18Z","USA:CT","blood","clinical",,,,"SAMN03354303","GCA_004714465.1","abc-f=HMM,fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","CFSAN004328","""CFSAN004328"",""NRRL B-33348"",""SRS856851""","1/2a","PDT000102669.3","2016-01-21T16:24:19Z","USA:NH","sweet bologna","environmental/other",,,,"SAMN03354353","GCA_004714645.1","abc-f=HMM,fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","PNUSAL003977","""PNUSAL003977"",""SRS3321718""",,"PDT000317433.2","2018-05-21T22:32:13Z","USA:CT","retail raw cow milk","environmental/other",,,,"SAMN09231522","GCA_004708555.1","abc-f=HMM,fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","PNUSAL003996","""PNUSAL003996"",""SRS3425136""",,"PDT000331846.1","2018-06-18T17:06:02Z","USA:CT","retail frozen broccoli","environmental/other",,,,"SAMN09435865","GCA_003593385.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","CFSAN009758","""CFSAN009758"",""SRS579449""",,"PDT000024381.3","2014-03-26T18:03:39Z","USA:VT","environmental swab","environmental/other",,,,"SAMN02677691","GCA_004506925.1","abc-f=HMM,fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FSIS1607065","""FSIS1607065"",""SRS1573047""",,"PDT000139376.2","2016-07-20T23:22:13Z","USA:CT","environmental: non-food-contact surface","environmental/other",,,,"SAMN05421476","GCA_004679965.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FSIS1606871","""FSIS1606871"",""SRS1520698""",,"PDT000135381.2","2016-06-22T19:17:23Z","USA:MA","environmental: non-food-contact surface","environmental/other",,,,"SAMN05274308","GCA_006218885.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes",,"""J5042"",""LS60"",""SRS960846""",,"PDT000136868.3","2016-06-30T18:13:26Z","USA: MA","placenta","clinical",,,,"SAMN03766432","GCA_010099635.1","catA1=COMPLETE,catA=COMPLETE,fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","PNUSAL004173","""PNUSAL004173"",""SRS3644759""","not typed","PDT000360928.1","2018-08-10T13:42:47Z","USA:CT","Summer Squash Noodles","environmental/other",,,,"SAMN09791426","GCA_003683215.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FSLF3-0051","""CFSAN084268"",""FSLF3-0051"",""SRS3667472""",,"PDT000362419.1","2018-08-13T23:44:35Z","USA:VT","environment silage","environmental/other",,,,"SAMN09756867","GCA_003679875.1","abc-f=HMM,fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FDA283663-C001-001","""CFSAN082204"",""FDA00013223"",""FDA283663-C001-001"",""SRS3567410""",,"PDT000352848.1","2018-07-20T20:42:09Z","USA:MA","breaded cod","environmental/other",,,,"SAMN09425893","GCA_003680235.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FDA947916-1039","""CFSAN047119"",""FDA00009947"",""FDA947916-1039"",""SRS1325764""",,"PDT000112616.2","2016-03-08T13:27:29Z","USA:MA","caviar","environmental/other",,,,"SAMN04525301","GCA_004654985.1","abc-f=HMM,fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","ARS-CC9255","""ARS-CC9255"",""CFSAN046863"",""SRS1332128""",,"PDT000113006.2","2016-03-10T07:25:33Z","USA:VT","milk","environmental/other",,,,"SAMN04539453","GCA_004655125.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","ARS-CC9225","""ARS-CC9225"",""CFSAN046835"",""SRS1312622""",,"PDT000110793.2","2016-02-27T04:24:46Z","USA:VT","milk","environmental/other",,,,"SAMN04506949","GCA_004654365.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","ARS-CC9220","""ARS-CC9220"",""CFSAN046830"",""SRS1317435""",,"PDT000111469.2","2016-03-02T10:27:26Z","USA:VT","milk","environmental/other",,,,"SAMN04506944","GCA_004654825.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","ARS-CC9223","""ARS-CC9223"",""CFSAN046833"",""SRS1317431""",,"PDT000111472.2","2016-03-02T10:27:26Z","USA:VT","milk","environmental/other",,,,"SAMN04506947","GCA_004654785.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","CFSAN027057","""CFSAN027057"",""SRS781591""",,"PDT000044899.3","2015-01-08T17:08:26Z","USA:RI","stuffed gourmet clam","environmental/other",,,,"SAMN03218573","GCA_003871275.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","FDA545732","""CFSAN027890"",""FDA00008646"",""FDA545732"",""SRS811691""",,"PDT000047119.2","2015-01-08T17:08:36Z","USA:RI","crab meat","environmental/other",,,,"SAMN03272437","GCA_004448125.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","CFSAN027056","""CFSAN027056"",""SRS753570""",,"PDT000044494.2","2014-11-26T22:07:28Z","USA:RI","fresh chopped clam","environmental/other",,,,"SAMN03218572","GCA_004445175.1","abc-f=HMM,fosX=COMPLETE,lin=COMPLETE,tet(M)=COMPLETE",
"Listeria monocytogenes","PNUSAL002642","""PNUSAL002642"",""SRS1816269""","not typed","PDT000162838.2","2016-11-23T18:17:49Z","USA:RI","Deli swab","environmental/other",,,,"SAMN06045843","GCA_004585555.1","fosX=COMPLETE,lin=COMPLETE",
"Listeria monocytogenes","PNUSAL002838","""PNUSAL002838"",""SRS1972529""",,"PDT000187437.2","2017-02-14T17:40:16Z","USA:RI","Deli drain","environmental/other",,,,"SAMN06309912","GCA_004680365.1","fosX=COMPLETE,lin=COMPLETE",
