#Organism group,Strain,Isolate identifiers,Serovar,Isolate,Create date,Location,Isolation source,Isolation type,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,Computed types
"Campylobacter jejuni","1909","""1909"",""AINC""",,"PDT000009476.3","2015-10-19T14:55:33Z","USA: CA",,,,,,"SAMN02428938","GCA_000253815.3","23S_A2075G=POINT,aph(3')-IIIa=COMPLETE,blaOXA-489=COMPLETE,gyrA_T86I=POINT,rpsL_K43R=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","1948","""1948"",""AINE""",,"PDT000009478.3","2015-10-19T14:55:45Z","USA: CA",,,,,,"SAMN02429060","GCA_000253855.3","23S_A2075G=POINT,blaOXA=COMPLETE,gyrA_T86I=POINT",
"Campylobacter jejuni","1957","""1957"",""AINF""",,"PDT000009479.2","2012-10-02T16:21:00Z","USA: CA",,,,,,"SAMN02429001","GCA_000253875.2","blaOXA=COMPLETE,gyrA_T86I=POINT,rpsL_K43R=POINT",
"Campylobacter jejuni","1961","""1961"",""AING""",,"PDT000009480.3","2015-10-19T14:55:53Z","USA: CA",,,,,,"SAMN02428972","GCA_000253895.3","blaOXA=COMPLETE,rpsL_K43R=POINT",
"Campylobacter jejuni","RM16701","""RM16701"",""UPTC16701""",,"PDT000047495.1","2015-01-07T20:00:26Z","USA: California","river water",,,,,"SAMN03248545","GCA_000816405.1","blaOXA=HMM",
"Campylobacter jejuni","RM16712","""RM16712"",""UPTC16712""",,"PDT000047496.1","2015-01-07T20:00:51Z","USA: California","river water",,,,,"SAMN03248546","GCA_000816425.1","blaOXA=HMM",
"Campylobacter jejuni","FSIS1501324","""FSIS1501324"",""SRS1071592""",,"PDT000086120.2","2015-10-06T23:17:19Z","USA:CA","animal-swine-market swine","environmental/other",,,,"SAMN04091186","GCA_005136425.1","23S_A2075G=POINT,aadE-Cc=COMPLETE,blaOXA-489=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1504856","""FSIS1504856"",""SRS1144011""",,"PDT000092892.2","2015-11-02T19:18:06Z","USA:CA","animal-swine-market swine","environmental/other",,,,"SAMN04229852","GCA_005085985.1","23S_A2075G=POINT,blaOXA-193=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N7454","""CVM N7454""",,"PDT000094657.1","2015-11-10T15:43:28Z","USA:CA","chicken breast","environmental/other",,,,"SAMN02693022","GCA_001442265.1","blaOXA-489=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","CVM N20320","""CVM N20320""",,"PDT000094664.1","2015-11-10T16:42:51Z","USA:CA","chicken breast","environmental/other",,,,"SAMN02693045","GCA_001442455.1","23S_A2075G=POINT,blaOXA-193=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1501821","""FSIS1501821"",""SRS1192322""",,"PDT000096687.2","2015-12-08T04:20:48Z","USA:CA","animal-swine-sow","environmental/other",,,,"SAMN04320873","GCA_004928065.1","aph(3')-IIIa=COMPLETE,blaOXA-489=COMPLETE",
"Campylobacter jejuni","FSIS1501986","""FSIS1501986"",""SRS1192360""",,"PDT000096704.2","2015-12-08T04:20:48Z","USA:CA","animal-cattle-steer","environmental/other",,,,"SAMN04320905","GCA_004804475.1","blaOXA-193=COMPLETE,blaOXA=COMPLETE,gyrA_T86I=POINT",
"Campylobacter jejuni","FSIS1502927","""FSIS1502927"",""SRS1240208""",,"PDT000101474.2","2016-01-08T16:23:26Z","USA:CA","animal-cattle-steer","environmental/other",,,,"SAMN04388424","GCA_005138205.1","aad9=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1504070","""FSIS1504070"",""SRS1258381""",,"PDT000102848.2","2016-01-22T22:23:34Z","USA:CA","Animal-Turkey-Young Turkey","environmental/other",,,,"SAMN04435388","GCA_005086545.1","blaOXA-193=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1503856","""FSIS1503856"",""SRS1258373""",,"PDT000102856.2","2016-01-22T22:23:34Z","USA:CA","animal-swine-market swine","environmental/other",,,,"SAMN04435379","GCA_005298485.1","23S_A2075G=POINT,50S_L22_A103V=POINT,aadE-Cc=MISTRANSLATION,blaOXA=PARTIAL_END_OF_CONTIG,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1606003","""FSIS1606003"",""SRS1332282""",,"PDT000112899.2","2016-03-10T03:26:14Z","USA:CA","animal-cattle-steer","environmental/other",,,,"SAMN04543708","GCA_005285845.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS1501388","""FSIS1501388"",""SRS969559""",,"PDT000115059.4","2016-03-16T20:13:09Z","USA:CA","NRTE (Not-Ready-to-Eat) Comminuted Poultry Exploratory Sampling - Chickens","environmental/other",,,,"SAMN03785196","GCA_004931655.1","tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1606089","""FSIS1606089"",""SRS1362946""",,"PDT000121582.2","2016-03-25T23:09:34Z","USA:CA","animal-cattle-dairy cow","environmental/other",,,,"SAMN04580860","GCA_005251925.1","gyrA_T86V=POINT",
"Campylobacter jejuni","FSIS1606241","""FSIS1606241"",""SRS1382916""",,"PDT000123794.2","2016-04-08T20:10:56Z","USA:CA","animal-cattle-steer","environmental/other",,,,"SAMN04625686","GCA_005289105.1","tet(O)=PARTIAL",
"Campylobacter jejuni","FSIS1606220","""FSIS1606220"",""SRS1382938""",,"PDT000123814.2","2016-04-08T20:10:57Z","USA:CA","animal-swine-market swine","environmental/other",,,,"SAMN04625665","GCA_005289365.1","23S_A2075G=POINT,50S_L22_A103V=POINT,aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1606232","""FSIS1606232"",""SRS1382937""",,"PDT000123815.2","2016-04-08T20:10:57Z","USA:CA","animal-cattle-beef cow","environmental/other",,,,"SAMN04625677","GCA_005252665.1","gyrA_T86V=POINT",
"Campylobacter jejuni","FSIS1606389","""FSIS1606389"",""SRS1421939""",,"PDT000128697.2","2016-05-04T19:12:41Z","USA:CA","animal-swine-sow","environmental/other",,,,"SAMN04942554","GCA_005101905.1","23S_A2075G=POINT,aadE-Cc=COMPLETE,aph(3')-IIIa=COMPLETE,blaOXA=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS1606586","""FSIS1606586"",""SRS1446693""",,"PDT000131142.2","2016-05-19T19:13:55Z","USA:CA","animal-cattle-steer","environmental/other",,,,"SAMN05049803","GCA_005290745.1","blaOXA-193=COMPLETE",
