#Organism group,Strain,Isolate identifiers,Serovar,Isolate,Create date,Location,Isolation source,Isolation type,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,Computed types
"Campylobacter jejuni","FSIS22028886","""FSIS22028886"",""SRS7169524""",,"PDT000805974.1","2020-08-09T20:15:14Z","USA:RI","chicken carcass","environmental/other",,,,"SAMN15769336","GCA_014367145.1","blaOXA-465=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS12036022","""FSIS12036022"",""SRS7869409""",,"PDT000908634.1","2020-12-11T07:25:35Z","USA:ME","Animal-Cattle-Dairy Cow (cecal)","environmental/other",,,,"SAMN17052376","GCA_015951785.1","aadE-Cc=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS12208287","""FSIS12208287"",""SRS11660669""",,"PDT001222578.1","2022-01-13T22:31:38Z","USA:ME","Animal-Cattle-Dairy Cow (cecal)","environmental/other",,,,"SAMN24961434","GCA_021470885.1","50S_L22_A103V=POINT,blaOXA-193=COMPLETE,gyrA_T86I=POINT",
"Campylobacter jejuni","FSIS12208533","""FSIS12208533"",""SRS11754365""",,"PDT001229879.1","2022-01-24T23:36:11Z","USA:NH","Animal-Swine-Sow (cecal)","environmental/other",,,,"SAMN25228553","GCA_021577875.1","aadE-Cc=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS12141890","""FSIS12141890"",""SRS9848888""",,"PDT001113617.1","2021-08-20T20:26:42Z","USA:ME","Animal-Cattle-Heifer (cecal)","environmental/other",,,,"SAMN20884560","GCA_019706135.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FM21-164","""FM21-164"",""PNUSAC023865"",""SRS10208946""",,"PDT001131963.1","2021-09-18T02:34:09Z","USA:RI","Raw oysters",,,,,"SAMN21475432","GCA_020064645.1",,
"Campylobacter jejuni","0000-0081-4835","""0000-0081-4835"",""CFSAN113660"",""SRS10451395""",,"PDT001145248.1","2021-10-05T17:05:30Z","USA:MA","stool","clinical",,,,"SAMN22060980","GCA_020323555.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FM21-179","""FM21-179"",""PNUSAC024025"",""SRS10307020""",,"PDT001137494.1","2021-09-24T19:32:52Z","USA:RI","Raw oysters",,,,,"SAMN21601350","GCA_020157415.1","tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS12106505","""FSIS12106505"",""SRS10825264""",,"PDT001167141.1","2021-11-02T05:30:45Z","USA:MA","Animal-Cattle-Dairy Cow (cecal)","environmental/other",,,,"SAMN22822794","GCA_020712335.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS12209428","""FSIS12209428"",""SRS12108625""",,"PDT001254310.1","2022-02-25T20:27:56Z","USA:VT","Animal-Calf-Non Formula-fed Veal (cecal)","environmental/other",,,,"SAMN26262998","GCA_022400245.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,gyrA_T86I=POINT,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS12209649","""FSIS12209649"",""SRS12178471""",,"PDT001258386.1","2022-03-04T15:33:17Z","USA:RI","Animal-Cattle-Heifer (cecal)","environmental/other",,,,"SAMN26429605","GCA_022478655.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS12210045","""FSIS12210045"",""SRS12337188""",,"PDT001272323.1","2022-03-22T05:37:55Z","USA:MA","Animal-Swine-Market Swine (cecal)","environmental/other",,,,"SAMN26857435","GCA_022671125.1","aadE-Cc=COMPLETE,blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS12210300","""FSIS12210300"",""SRS12386637""",,"PDT001275998.1","2022-03-30T14:50:41Z","USA:MA","raw intact chicken","environmental/other",,,,"SAMN26977325","GCA_022953365.1","blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS12210449","""FSIS12210449"",""SRS12481574""",,"PDT001279186.1","2022-04-09T06:34:10Z","USA:VT","Animal-Swine-Market Swine (cecal)","environmental/other",,,,"SAMN27279581","GCA_022909535.1","50S_L22_A103V=POINT,aadE-Cc=COMPLETE,blaOXA-193=COMPLETE",
"Campylobacter jejuni","FSIS12212748","""FSIS12212748"",""SRS13814939""",,"PDT001358073.1","2022-07-13T09:43:21Z","USA:VT","Animal-Cattle-Dairy Cow (cecal)","environmental/other",,,,"SAMN29656493","GCA_024230875.1",,
"Campylobacter jejuni","FSIS11924966","""FSIS11924966"",""SRS5501286""",,"PDT000604359.1","2019-10-10T19:32:03Z","USA:NH","animal-cattle-dairy cow","environmental/other",,,,"SAMN13003007","GCA_009254445.1","aph(3')-IIIa=COMPLETE,blaOXA-193=COMPLETE,tet(O)=COMPLETE",
"Campylobacter jejuni","FSIS32003899","""FSIS32003899"",""SRS7383353""",,"PDT000838464.1","2020-09-17T19:24:08Z","USA:RI","chicken carcass","environmental/other",,,,"SAMN16200971","GCA_014631735.1","blaOXA-489=COMPLETE",
